21 0.846101532183862[lteStructure.SB@2f7a2457, lteStructure.SB@566776ad, lteStructure.SB@6108b2d7, lteStructure.SB@1554909b, lteStructure.SB@6bf256fa, lteStructure.SB@6cd8737]
22 0.8381005720686483[lteStructure.SB@22f71333, lteStructure.SB@13969fbe, lteStructure.SB@6aaa5eb0, lteStructure.SB@3498ed, lteStructure.SB@1a407d53, lteStructure.SB@3d8c7aca]
23 0.9041084930191623[lteStructure.SB@5ebec15, lteStructure.SB@21bcffb5, lteStructure.SB@380fb434, lteStructure.SB@668bc3d5, lteStructure.SB@3cda1055, lteStructure.SB@7a5d012c]
24 0.8471016521982638[lteStructure.SB@3fb6a447, lteStructure.SB@79b4d0f, lteStructure.SB@6b2fad11, lteStructure.SB@79698539, lteStructure.SB@73f792cf, lteStructure.SB@2ed94a8b]
25 0.872104652558307[lteStructure.SB@38082d64, lteStructure.SB@dfd3711, lteStructure.SB@42d3bd8b, lteStructure.SB@26ba2a48, lteStructure.SB@5f2050f6, lteStructure.SB@3b81a1bc]
26 0.8601032123854865[lteStructure.SB@64616ca2, lteStructure.SB@13fee20c, lteStructure.SB@4e04a765, lteStructure.SB@783e6358, lteStructure.SB@17550481, lteStructure.SB@735f7ae5]
27 0.8941072928751451[lteStructure.SB@180bc464, lteStructure.SB@1324409e, lteStructure.SB@2c6a3f77, lteStructure.SB@246ae04d, lteStructure.SB@62043840, lteStructure.SB@5315b42e]
28 0.8891066928031365[lteStructure.SB@2ef9b8bc, lteStructure.SB@5d624da6, lteStructure.SB@1e67b872, lteStructure.SB@60addb54, lteStructure.SB@3f2a3a5, lteStructure.SB@4cb2c100]
29 0.8801056126735208[lteStructure.SB@6fb554cc, lteStructure.SB@614c5515, lteStructure.SB@77b52d12, lteStructure.SB@2d554825, lteStructure.SB@68837a77, lteStructure.SB@6be46e8f]
30 0.8631035724286914[lteStructure.SB@3567135c, lteStructure.SB@327471b5, lteStructure.SB@4157f54e, lteStructure.SB@90f6bfd, lteStructure.SB@47f6473, lteStructure.SB@15975490]
31 0.8671040524862986[lteStructure.SB@6b143ee9, lteStructure.SB@1936f0f5, lteStructure.SB@6615435c, lteStructure.SB@4909b8da, lteStructure.SB@3a03464, lteStructure.SB@2d3fcdbd]
